id_venta,fecha,pais,ciudad,categoria,producto,cantidad,precio_unitario,canal
1,2024-08-12,Guatemala,Antigua Guatemala,Alimentos,Miel,1,76.70,tienda
2,2024-06-15,Guatemala,Ciudad de Guatemala,Alimentos,Miel,1,69.41,tienda
3,2024-02-26,Mexico,Guadalajara,Hogar,Cafetera,1,654.90,app
4,2024-02-09,Costa Rica,Alajuela,Ropa,Pantalon,1,284.85,tienda
5,2024-01-12,Costa Rica,San Jose,Alimentos,Cafe,1,98.21,tienda
6,2024-05-22,El Salvador,Santa Ana,Deportes,Balon,1,171.96,tienda
7,2024-09-18,Guatemala,Antigua Guatemala,Deportes,Bicicleta,3,3672.17,tienda
8,2024-02-03,Mexico,Monterrey,Deportes,Mancuernas,4,357.84,tienda
9,2024-11-05,El Salvador,San Miguel,Alimentos,Cafe,2,101.55,app
10,2024-08-16,Mexico,Ciudad de Mexico,Hogar,Cafetera,4,704.96,app
11,2024-10-07,Mexico,Ciudad de Mexico,Hogar,Licuadora,1,472.51,web
12,2024-02-16,Panama,Ciudad de Panama,Electronica,Telefono,3,4072.60,tienda
13,2024-06-12,Guatemala,Escuintla,Hogar,Licuadora,5,445.46,tienda
14,2024-08-22,El Salvador,San Salvador,Electronica,Audifonos,3,370.29,app
15,2024-10-30,Guatemala,Antigua Guatemala,Hogar,Licuadora,1,488.55,web
16,2024-07-24,El Salvador,San Salvador,Ropa,Pantalon,4,278.13,app
17,2024-03-03,Costa Rica,San Jose,Hogar,Cafetera,1,693.05,tienda
18,2024-03-06,Honduras,Tegucigalpa,Ropa,Zapatos,2,554.17,web
19,2024-04-14,Honduras,San Pedro Sula,Ropa,Zapatos,4,501.22,web
20,2024-08-12,El Salvador,San Salvador,Hogar,Cafetera,1,678.95,web
21,2024-01-30,Guatemala,Quetzaltenango,Electronica,Bocina,2,1028.18,tienda
22,2024-11-21,Mexico,Monterrey,Ropa,Zapatos,1,592.07,tienda
23,2024-11-15,Costa Rica,Alajuela,Deportes,Mancuernas,1,297.69,app
24,2024-02-25,El Salvador,San Miguel,Electronica,Telefono,5,4273.04,tienda
25,2024-11-29,Guatemala,Quetzaltenango,Deportes,Balon,2,171.80,tienda
26,2024-09-21,Costa Rica,San Jose,Alimentos,Cafe,1,86.40,app
27,2024-01-07,Mexico,Monterrey,Deportes,Balon,2,138.94,tienda
28,2024-02-26,Mexico,Ciudad de Mexico,Deportes,Mancuernas,1,326.48,app
29,2024-02-29,Honduras,Tegucigalpa,Ropa,Pantalon,2,283.00,tienda
30,2024-07-17,Honduras,Tegucigalpa,Ropa,Pantalon,2,249.29,app
31,2024-08-28,Honduras,San Pedro Sula,Electronica,Telefono,4,4100.15,tienda
32,2024-05-20,Honduras,Tegucigalpa,Alimentos,Chocolate,1,45.98,app
33,2024-01-18,Costa Rica,San Jose,Ropa,Camisa,2,172.08,app
34,2024-11-11,Honduras,San Pedro Sula,Deportes,Mancuernas,4,345.82,tienda
35,2024-12-09,Mexico,Guadalajara,Deportes,Bicicleta,1,4338.60,tienda
36,2024-07-15,Guatemala,Ciudad de Guatemala,Ropa,Pantalon,1,289.54,tienda
37,2024-02-23,Guatemala,Ciudad de Guatemala,Alimentos,Cafe,1,97.11,app
38,2024-12-16,Guatemala,Escuintla,Ropa,Pantalon,2,297.11,app
39,2024-04-28,Mexico,Ciudad de Mexico,Hogar,Lampara,1,223.84,web
40,2024-12-22,Mexico,Ciudad de Mexico,Electronica,Audifonos,1,377.28,web
41,2024-05-04,Honduras,San Pedro Sula,Deportes,Bicicleta,4,3643.02,app
42,2024-02-19,Mexico,Monterrey,Electronica,Bocina,3,831.86,app
43,2024-02-09,Guatemala,Escuintla,Ropa,Pantalon,1,287.97,web
44,2024-10-26,Guatemala,Escuintla,Alimentos,Cafe,1,107.15,tienda
45,2024-10-17,Guatemala,Quetzaltenango,Deportes,Balon,1,156.09,web
46,2024-03-12,Costa Rica,San Jose,Deportes,Mancuernas,1,346.50,tienda
47,2024-04-04,Guatemala,Escuintla,Electronica,Telefono,5,4286.35,tienda
48,2024-02-08,Guatemala,Escuintla,Alimentos,Cafe,3,89.57,web
49,2024-11-20,Guatemala,Ciudad de Guatemala,Electronica,Tablet,1,2546.23,tienda
50,2024-10-24,Costa Rica,Alajuela,Hogar,Lampara,1,234.28,tienda
51,2024-05-26,Mexico,Monterrey,Alimentos,Chocolate,1,43.04,web
52,2024-09-27,Honduras,Tegucigalpa,Hogar,Lampara,1,240.34,web
53,2024-04-17,Mexico,Ciudad de Mexico,Ropa,Camisa,4,182.05,tienda
54,2024-11-01,Guatemala,Escuintla,Electronica,Tablet,1,2642.83,app
55,2024-10-11,Guatemala,Antigua Guatemala,Deportes,Balon,1,160.76,app
56,2024-09-15,Mexico,Ciudad de Mexico,Hogar,Cafetera,5,647.72,tienda
57,2024-07-04,Mexico,Monterrey,Deportes,Bicicleta,1,4191.89,tienda
58,2024-08-12,Honduras,Tegucigalpa,Ropa,Pantalon,1,254.84,tienda
59,2024-06-26,Mexico,Monterrey,Ropa,Pantalon,1,236.56,web
60,2024-04-21,Mexico,Ciudad de Mexico,Electronica,Bocina,1,893.98,tienda
61,2024-10-24,Honduras,Tegucigalpa,Deportes,Mancuernas,3,310.81,tienda
62,2024-12-08,Costa Rica,Alajuela,Deportes,Balon,2,170.02,tienda
63,2024-09-22,El Salvador,San Miguel,Ropa,Zapatos,2,486.92,app
64,2024-04-30,Guatemala,Ciudad de Guatemala,Electronica,Tablet,3,2779.65,app
65,2024-06-26,Mexico,Ciudad de Mexico,Ropa,Camisa,1,175.84,tienda
66,2024-02-12,Guatemala,Ciudad de Guatemala,Deportes,Balon,2,145.78,web
67,2024-07-31,Costa Rica,Alajuela,Alimentos,Chocolate,1,48.55,tienda
68,2024-04-11,Guatemala,Antigua Guatemala,Deportes,Bicicleta,1,4263.05,tienda
69,2024-09-26,Guatemala,Quetzaltenango,Electronica,Audifonos,1,360.46,app
70,2024-06-20,Guatemala,Escuintla,Alimentos,Cafe,3,106.63,app
71,2024-12-30,Costa Rica,San Jose,Electronica,Telefono,2,4501.77,app
72,2024-01-17,Guatemala,Quetzaltenango,Ropa,Zapatos,1,563.33,app
73,2024-07-18,Honduras,Tegucigalpa,Deportes,Balon,1,139.88,tienda
74,2024-07-28,Guatemala,Antigua Guatemala,Deportes,Balon,2,163.70,tienda
75,2024-03-03,Costa Rica,San Jose,Ropa,Zapatos,1,541.36,tienda
76,2024-11-23,Costa Rica,San Jose,Hogar,Lampara,2,200.77,app
77,2024-01-25,Guatemala,Antigua Guatemala,Hogar,Licuadora,1,460.50,app
78,2024-12-23,Costa Rica,San Jose,Alimentos,Miel,4,70.83,app
79,2024-08-15,Mexico,Ciudad de Mexico,Ropa,Pantalon,2,245.58,app
80,2024-02-04,Mexico,Monterrey,Electronica,Audifonos,1,388.87,tienda
81,2024-02-01,Guatemala,Escuintla,Ropa,Zapatos,3,475.05,app
82,2024-02-27,Guatemala,Ciudad de Guatemala,Alimentos,Chocolate,3,47.73,app
83,2024-05-01,El Salvador,San Salvador,Ropa,Pantalon,2,271.56,tienda
84,2024-11-19,Guatemala,Escuintla,Alimentos,Miel,1,67.40,app
85,2024-10-05,Guatemala,Ciudad de Guatemala,Hogar,Licuadora,2,489.54,tienda
86,2024-06-23,Mexico,Guadalajara,Ropa,Pantalon,1,250.46,tienda
87,2024-10-31,Costa Rica,San Jose,Deportes,Balon,1,146.98,web
88,2024-06-20,Mexico,Monterrey,Alimentos,Cafe,5,109.22,tienda
89,2024-12-30,Mexico,Ciudad de Mexico,Electronica,Tablet,1,3167.71,tienda
90,2024-10-02,Panama,Ciudad de Panama,Alimentos,Cafe,1,102.88,tienda
91,2024-03-09,Honduras,San Pedro Sula,Deportes,Balon,3,155.61,web
92,2024-07-04,Panama,Ciudad de Panama,Hogar,Licuadora,5,441.52,tienda
93,2024-11-17,El Salvador,San Miguel,Alimentos,Cafe,3,90.86,tienda
94,2024-11-23,Guatemala,Antigua Guatemala,Deportes,Mancuernas,2,366.73,app
95,2024-05-05,Costa Rica,Alajuela,Hogar,Licuadora,2,547.10,app
96,2024-05-20,El Salvador,Santa Ana,Deportes,Bicicleta,1,4298.61,web
