id_venta,fecha,pais,ciudad,categoria,producto,cantidad,precio_unitario,canal
1,2024-05-11,Panama,Ciudad de Panama,Alimentos,Chocolate,3,49.38,web
2,2024-05-28,Panama,Ciudad de Panama,Deportes,Balon,1,161.06,app
3,2024-06-21,Panama,Ciudad de Panama,Ropa,Zapatos,1,590.04,tienda
4,2024-11-30,Honduras,San Pedro Sula,Electronica,Telefono,2,4648.56,app
5,2024-12-19,Mexico,Ciudad de Mexico,Electronica,Tablet,3,3134.09,app
6,2024-03-12,Panama,Ciudad de Panama,Electronica,Bocina,5,846.99,app
7,2024-01-20,Panama,Ciudad de Panama,Alimentos,Cafe,4,89.84,web
8,2024-01-02,Mexico,Ciudad de Mexico,Hogar,Lampara,2,221.86,tienda
9,2024-09-20,El Salvador,Santa Ana,Hogar,Lampara,2,224.88,app
10,2024-04-03,Honduras,Tegucigalpa,Electronica,Tablet,2,2655.34,app
11,2024-02-06,El Salvador,San Miguel,Hogar,Lampara,2,198.69,web
12,2024-06-23,El Salvador,San Miguel,Alimentos,Miel,1,69.11,tienda
13,2024-07-22,Panama,Ciudad de Panama,Alimentos,Cafe,1,98.06,web
14,2024-11-19,Honduras,Tegucigalpa,Ropa,Zapatos,1,540.33,tienda
15,2024-11-29,Panama,Ciudad de Panama,Hogar,Licuadora,2,533.11,app
16,2024-10-26,Panama,Ciudad de Panama,Ropa,Pantalon,1,285.91,app
17,2024-05-11,Honduras,San Pedro Sula,Ropa,Zapatos,2,488.21,web
18,2024-05-11,Panama,Ciudad de Panama,Hogar,Cafetera,3,690.52,app
19,2024-03-24,Mexico,Guadalajara,Alimentos,Cafe,1,105.93,app
20,2024-08-30,Panama,Ciudad de Panama,Alimentos,Chocolate,2,41.88,app
21,2024-06-23,Honduras,San Pedro Sula,Hogar,Lampara,3,241.26,web
22,2024-06-17,Panama,Ciudad de Panama,Electronica,Audifonos,1,319.07,app
23,2024-03-10,Panama,Ciudad de Panama,Alimentos,Cafe,3,96.51,web
24,2024-12-18,Panama,Ciudad de Panama,Deportes,Balon,2,168.80,app
25,2024-08-20,Mexico,Ciudad de Mexico,Electronica,Bocina,4,849.19,web
26,2024-02-10,Mexico,Guadalajara,Electronica,Audifonos,1,325.47,web
27,2024-06-23,Mexico,Guadalajara,Electronica,Tablet,2,2694.98,app
28,2024-10-29,Mexico,Ciudad de Mexico,Electronica,Audifonos,1,343.29,tienda
29,2024-05-18,Mexico,Monterrey,Hogar,Cafetera,4,600.83,app
30,2024-04-16,Mexico,Guadalajara,Alimentos,Miel,3,70.39,app
31,2024-04-06,Mexico,Monterrey,Hogar,Licuadora,2,480.36,app
