id_venta,fecha,pais,ciudad,categoria,producto,cantidad,precio_unitario,canal
1,2024-11-08,Panama,Ciudad de Panama,Deportes,Bicicleta,1,3706.51,app
2,2024-12-28,Costa Rica,San Jose,Alimentos,Chocolate,1,45.86,app
3,2024-01-24,Honduras,San Pedro Sula,Alimentos,Chocolate,1,50.33,app
4,2024-04-13,Guatemala,Ciudad de Guatemala,Electronica,Bocina,1,867.69,web
5,2024-11-28,Guatemala,Quetzaltenango,Hogar,Licuadora,1,550.01,web
6,2024-11-09,El Salvador,Santa Ana,Alimentos,Cafe,3,108.66,web
7,2024-10-11,El Salvador,San Miguel,Deportes,Bicicleta,1,3850.71,app
8,2024-12-06,Panama,Ciudad de Panama,Hogar,Lampara,1,206.03,app
9,2024-10-31,El Salvador,Santa Ana,Electronica,Tablet,1,3163.07,app
10,2024-03-09,Panama,Ciudad de Panama,Hogar,Lampara,2,198.72,web
11,2024-11-05,Panama,Ciudad de Panama,Ropa,Zapatos,1,552.49,web
12,2024-11-29,Honduras,Tegucigalpa,Deportes,Balon,4,158.89,app
13,2024-02-14,Guatemala,Escuintla,Electronica,Tablet,2,2656.35,web
14,2024-11-29,Honduras,Tegucigalpa,Deportes,Bicicleta,1,4247.18,web
15,2024-11-13,Costa Rica,Alajuela,Deportes,Balon,1,137.73,app
16,2024-11-27,Guatemala,Quetzaltenango,Electronica,Audifonos,4,351.47,web
17,2024-06-08,Costa Rica,Alajuela,Alimentos,Miel,4,77.92,web
18,2024-09-10,El Salvador,San Miguel,Deportes,Mancuernas,2,346.79,web
19,2024-10-07,Honduras,San Pedro Sula,Hogar,Lampara,2,237.23,app
20,2024-03-17,Panama,Ciudad de Panama,Hogar,Licuadora,2,504.66,tienda
21,2024-11-15,Honduras,Tegucigalpa,Alimentos,Chocolate,1,44.34,app
22,2024-06-03,El Salvador,Santa Ana,Ropa,Zapatos,3,585.81,web
23,2024-05-27,Panama,Ciudad de Panama,Electronica,Audifonos,3,375.42,web
24,2024-12-21,Guatemala,Quetzaltenango,Alimentos,Cafe,1,86.01,web
25,2024-12-13,Guatemala,Ciudad de Guatemala,Alimentos,Cafe,1,101.15,app
26,2024-05-13,Panama,Ciudad de Panama,Deportes,Bicicleta,2,3827.40,app
27,2024-11-18,Costa Rica,San Jose,Alimentos,Miel,1,75.33,app
28,2024-10-05,El Salvador,San Salvador,Deportes,Bicicleta,4,4202.30,tienda
29,2024-11-14,El Salvador,San Salvador,Electronica,Telefono,1,4129.17,web
30,2024-10-29,Mexico,Monterrey,Alimentos,Chocolate,5,45.37,web
31,2024-12-27,Honduras,Tegucigalpa,Electronica,Tablet,3,2675.12,app
32,2024-10-26,El Salvador,San Miguel,Hogar,Lampara,1,191.29,web
33,2024-12-22,El Salvador,San Salvador,Electronica,Bocina,1,826.02,web
34,2024-12-31,El Salvador,Santa Ana,Hogar,Licuadora,2,526.79,app
35,2024-06-24,Guatemala,Antigua Guatemala,Deportes,Bicicleta,1,4305.71,app
36,2024-03-13,El Salvador,San Miguel,Alimentos,Cafe,1,97.48,app
37,2024-07-06,Panama,Ciudad de Panama,Alimentos,Miel,1,73.58,web
38,2024-10-22,Honduras,Tegucigalpa,Electronica,Tablet,4,3183.72,web
39,2024-09-25,Honduras,Tegucigalpa,Alimentos,Cafe,5,108.27,web
40,2024-09-26,Honduras,Tegucigalpa,Hogar,Cafetera,1,648.07,app
41,2024-06-26,Mexico,Guadalajara,Electronica,Audifonos,2,339.19,web
42,2024-10-01,El Salvador,San Miguel,Electronica,Audifonos,1,390.21,tienda
43,2024-09-20,Guatemala,Antigua Guatemala,Alimentos,Miel,4,80.29,web
44,2024-07-29,Honduras,San Pedro Sula,Ropa,Camisa,3,162.76,web
45,2024-03-27,El Salvador,San Miguel,Hogar,Cafetera,1,667.91,tienda
46,2024-07-09,El Salvador,San Miguel,Hogar,Lampara,1,207.46,app
47,2024-12-30,Guatemala,Antigua Guatemala,Deportes,Balon,1,142.69,app
48,2024-02-17,Panama,Ciudad de Panama,Hogar,Cafetera,1,628.03,web
49,2024-05-06,Honduras,San Pedro Sula,Electronica,Bocina,1,932.13,app
50,2024-03-16,Guatemala,Ciudad de Guatemala,Electronica,Audifonos,1,368.12,web
51,2024-08-28,El Salvador,San Miguel,Alimentos,Chocolate,1,47.44,tienda
52,2024-06-12,Guatemala,Quetzaltenango,Ropa,Camisa,1,178.32,app
53,2024-08-09,El Salvador,San Salvador,Alimentos,Cafe,2,93.66,app
54,2024-11-27,Guatemala,Ciudad de Guatemala,Ropa,Zapatos,1,531.01,web
55,2024-04-27,Panama,Ciudad de Panama,Alimentos,Cafe,2,89.52,web
56,2024-04-21,Costa Rica,Alajuela,Alimentos,Cafe,1,98.05,app
57,2024-01-12,Mexico,Guadalajara,Alimentos,Miel,1,72.64,web
58,2024-12-20,Costa Rica,Alajuela,Ropa,Camisa,1,203.82,tienda
59,2024-09-20,Guatemala,Escuintla,Deportes,Mancuernas,1,300.58,app
60,2024-02-21,Honduras,Tegucigalpa,Alimentos,Miel,2,75.27,app
61,2024-11-30,Panama,Ciudad de Panama,Hogar,Licuadora,2,467.91,web
62,2024-08-09,El Salvador,San Miguel,Hogar,Licuadora,1,456.47,web
63,2024-04-27,Costa Rica,San Jose,Deportes,Bicicleta,1,3579.70,app
64,2024-06-07,Panama,Ciudad de Panama,Electronica,Tablet,2,3215.17,web
65,2024-11-18,Mexico,Ciudad de Mexico,Hogar,Lampara,2,240.12,app
66,2024-01-19,El Salvador,San Miguel,Hogar,Lampara,3,228.85,app
67,2024-07-28,Honduras,Tegucigalpa,Hogar,Lampara,1,230.93,tienda
68,2024-01-25,Panama,Ciudad de Panama,Deportes,Bicicleta,4,4289.51,app
69,2024-06-24,Mexico,Guadalajara,Deportes,Mancuernas,1,300.53,app
70,2024-04-20,Costa Rica,Alajuela,Deportes,Mancuernas,1,365.88,web
71,2024-01-17,Mexico,Monterrey,Deportes,Mancuernas,2,352.28,web
72,2024-04-12,Costa Rica,San Jose,Deportes,Balon,1,157.14,app
73,2024-11-22,El Salvador,Santa Ana,Electronica,Audifonos,2,334.70,app
74,2024-04-04,Mexico,Monterrey,Hogar,Lampara,3,238.93,tienda
75,2024-05-08,El Salvador,San Salvador,Hogar,Licuadora,1,502.79,web
